pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
196,6.4647650718688965,1.5895355978404353,2.880993401633815,-0.0002589402141138943,9,78
197,6.8785014152526855,0.6937546306443002,2.8797770046850055,-0.0007946366505426324,9,79
198,5.8213324546813965,0.9890473628519391,2.88288511234482,0.000505601629836448,9,80
199,5.861598014831543,0.2821557793872167,2.8827667304204567,0.0006282349764573901,9,81
200,6.111663818359375,0.7953646682503482,2.8820315296451877,-3.442532961048519e-05,9,82
201,6.323392391204834,0.2963659438982115,2.881409041449255,-0.00024099875827621384,9,83
202,6.392582893371582,0.634545653545033,2.8812056193494846,-1.4338230427676401e-05,9,84
203,5.963435173034668,0.6750129180235422,2.882467326197225,0.00047052367383011175,9,85
204,6.40952730178833,1.0032458709645458,2.881155802293219,-0.00023394585862194473,9,86
205,6.041794300079346,0.7821795275050872,2.8822369480721877,-0.0007252749686975755,9,87
206,1.365820288658142,3.4688552677323625,2.895984448409444,0.00032310077448779247,10,45
207,1.9040014743804932,3.4473444892180125,2.8944021799849082,-3.8709013413666985e-05,10,46
208,2.592736005783081,2.779937542450192,2.8923772803213064,0.0006328551219550839,10,47
209,2.731761932373047,2.6231823894668356,2.8919685400314727,0.001382454068365097,10,48
210,3.328627824783325,4.4715811559966285,2.890213736853105,0.004221052237705093,10,49
211,5.41021203994751,10.365470533907697,2.8840938183868987,0.007311290050669966,10,50
212,11.016146659851074,20.459550774158036,2.8676122066650365,0.00736510630617403,10,51
213,21.009689331054688,27.475542634079364,2.838230898961617,0.0024848024353614604,10,52
214,31.409528732299805,28.39284548132688,2.807655066990178,-0.004604494411587277,10,53
215,38.37409210205078,21.396294262484666,2.787179047012172,-0.011969046996780346,10,54
216,34.99097442626953,20.011966704039892,2.7971255119144964,-0.011443997589104561,10,55
217,22.760700225830078,23.82918256144839,2.833082875724604,2.0410493415161162e-05,10,56
218,12.65500259399414,18.835923807610722,2.86279392229213,0.009242664589578984,10,57
219,11.007110595703125,15.582863415152527,2.867638772957881,0.007275266451642264,10,58
220,11.738493919372559,14.951163492800598,2.8654884845977984,0.0040405127914558475,10,59
221,11.297198295593262,13.186445322323033,2.8667859066369106,0.0049183718658097585,10,60
222,11.106239318847656,12.661195612323525,2.8673473316129265,0.00640165467584625,10,61
223,13.65832805633545,16.639401403805266,2.8598441160917054,0.006353903793213258,10,62
224,20.696117401123047,23.4376130940435,2.8391528096056797,0.0038641088405947472,10,63
225,30.20477294921875,25.280103247613802,2.811197084224184,-0.0015219901942600705,10,64
226,36.8902702331543,22.792907172813372,2.791541526699454,-0.005488564365851944,10,65
227,39.31106185913086,20.996240566633137,2.7844243285257146,-0.007391913475052834,10,66
228,34.22383117675781,23.37153274280091,2.799380935502315,0.00022396448978554272,10,67
229,26.23615074157715,22.448895616394235,2.822864949572609,0.01015743269383165,10,68
230,31.010847091674805,22.415055571751374,2.808827202672618,0.0041039197835313936,10,69
231,39.29636764526367,19.26403511824945,2.7844675299442,-0.0056993158524968526,10,70
232,42.472808837890625,13.780783088445812,2.7751286999463742,-0.008021996767664399,10,71
233,39.62357711791992,16.037250674552908,2.783505524525712,-0.006973640642642999,10,72
234,31.31275749206543,22.62094509616475,2.8079395772664344,-0.0036273960741410064,10,73
235,17.277528762817383,23.769703831586178,2.8492035601751344,0.005050937162501117,10,74
236,5.946382522583008,10.489327885269141,2.8825174614882387,0.009796447208231501,10,75
237,6.464396953582764,1.3134441605670857,2.880994483912341,0.0033991955543623375,10,76
238,6.793136119842529,0.9338517386699746,2.880027981149925,-0.0006500963994112366,10,77
239,7.237565517425537,0.829750995884288,2.878721345724186,-0.0013529542555693157,10,78
240,6.032684803009033,1.6663740257017807,2.8822637302599716,0.0004346322089067917,10,79
241,5.85595703125,0.19547907073996756,2.882783315077151,0.0007372523669227439,10,80
242,5.974767208099365,0.7377468296022488,2.8824340096827417,0.00025522593224626465,10,81
243,6.544457912445068,0.9142109291177772,2.880759102351992,-0.0003461101655069853,10,82
244,6.43275785446167,0.2945559346999604,2.881087503789008,-0.00012213739400516416,10,83
245,6.273102760314941,0.4167790052525306,2.8815568944347354,0.0001938905911327086,10,84
